date,BYR,USD,EUR,KZT,UAH,AZN,KGS,UZS,GEL
2009-11,10.5863,29.0488,43.0678,19.2676,35.3392,,,,
2009-12,10.4451,29.0687,43.7658,19.5486,36.2679,,,,
2010-01,10.5395,30.1851,43.4605,20.3239,37.497,,,,
2010-02,10.5408,30.4312,42.4637,20.5686,37.8969,37.798,68.8099,19.9676,
2010-03,10.2178,29.9484,40.8047,20.3281,37.3328,37.1984,66.9238,19.4805,
2010-04,9.9012,29.4956,39.5713,20.0691,36.999,36.6359,65.1908,18.9841,
2010-05,9.8426,29.1537,38.6986,19.9042,36.5885,36.2879,64.4352,18.6114,
2010-06,10.2433,30.74,37.8133,20.9579,38.7886,38.2529,66.8261,19.4696,
2010-07,10.3529,31.2554,38.2097,21.1808,39.4569,38.8749,67.9465,19.5959,
2010-08,10.1434,30.1869,39.4694,20.4352,38.2316,37.5646,64.7093,18.8016,
2010-09,10.2446,30.8669,39.0127,20.9487,39.1364,38.4108,66.167,19.1362,
2010-10,10.1337,30.5126,41.4392,20.6746,38.4386,38.003,65.4075,18.8326,
2010-11,10.2198,30.7821,42.7256,20.865,38.7172,38.4296,65.9367,18.9277,
2010-12,10.3343,31.3335,41.0814,21.2229,39.3316,39.1767,66.8808,19.1771,
2011-01,10.1135,30.3505,40.4876,20.5829,38.0929,37.9476,64.4395,18.5064,
2011-02,9.8944,29.8018,40.5811,20.272,37.5101,37.3972,63.0459,18.0525,
2011-03,9.561,28.9028,39.8136,19.7992,36.413,36.3374,60.8756,17.364,
2011-04,93.6185,28.5162,40.3875,19.5672,35.7682,35.8514,60.3584,16.9969,
2011-05,91.2482,27.5022,40.8078,18.8863,34.5288,34.7425,58.7183,16.2584,
2011-06,56.2083,27.9805,40.2444,19.2405,35.0655,35.4453,61.2289,16.4419,
2011-07,56.1382,27.8726,40.4153,19.1105,34.8909,35.4298,61.6559,16.2898,
2011-08,55.9071,27.6796,39.5182,18.9139,34.6125,35.1889,61.9196,16.0467,
2011-09,56.7546,28.9278,41.7631,19.7338,36.2005,36.8507,64.7118,16.6814,
2011-10,56.9326,32.11,43.4191,21.6864,40.1561,40.9828,71.3543,18.3843,
2011-11,35.4406,30.1245,42.1833,20.384,37.6321,38.3459,66.066,17.1006,
2011-12,36.5117,31.4001,41.7559,21.2572,39.1498,39.9645,67.0501,17.6383,
2012-01,38.5582,32.1961,41.6714,21.6874,40.0549,40.9776,69.5628,17.9365,
2012-02,36.2164,30.3131,39.9678,20.4039,37.731,38.5859,64.8052,16.7645,
2012-03,35.9669,29.0253,39.1029,19.6475,36.3066,36.9702,62.4334,15.8791,
2012-04,36.3423,29.3282,39.1707,19.8371,36.5165,37.337,62.6113,15.909,
2012-05,36.4754,29.3627,38.9203,19.8712,36.5476,37.3952,62.6312,15.8191,
2012-06,39.4219,32.9173,40.8076,22.2347,40.7367,41.9489,70.1335,17.5893,
2012-07,39.3488,32.8169,41.323,21.9621,40.6225,41.8263,69.5761,17.4118,
2012-08,39.0373,32.2058,39.5101,21.467,39.7735,41.0474,68.3069,16.9449,
2012-09,38.724,32.5669,40.7249,21.762,40.1095,41.5235,70.6834,16.9466,
2012-10,36.6314,30.9169,39.9786,20.5982,37.9442,39.4097,65.8218,15.9481,
2012-11,36.7811,31.3743,40.6548,20.8052,38.3643,40.008,66.5621,16.0383,
2012-12,35.9103,30.811,40.0759,20.4697,37.6212,39.2947,65.1977,15.6446,
2013-01,35.3376,30.3727,40.2286,20.2107,37.59,38.7407,64.0753,15.3011,
2013-02,34.7811,30.0161,40.7138,19.898,36.9429,38.3005,62.8352,15.0193,
2013-03,35.4178,30.5124,40.1024,20.2936,37.4477,38.9139,64.1453,15.3522,
2013-04,35.8104,31.0834,39.8023,20.6,38.1626,39.6472,64.802,15.2109,
2013-05,35.9714,31.0433,40.6264,20.5313,38.2189,39.6061,64.443,15.0294,
2013-06,36.5914,31.7979,41.4486,20.9922,39.0446,40.5689,65.9297,15.2838,
2013-07,37.2116,32.709,42.718,21.5673,40.1067,41.7366,67.2459,15.598,
2013-08,37.1366,33.033,43.7786,21.5164,40.676,42.1501,67.5874,15.6517,
2013-09,36.8801,33.2474,44.0129,21.6899,40.9325,42.4182,68.2548,15.6311,
2013-10,35.677,32.4839,43.8143,21.1209,39.658,41.4494,66.8122,15.2513,
2013-11,34.6578,32.0758,43.9406,20.8014,39.1765,40.9443,66.132,14.7306,
2013-12,35.499,33.1916,45.187,21.5663,40.443,42.3741,67.8072,15.1352,
2014-01,34.2334,32.6587,45.0559,21.176,39.6343,41.6884,66.3161,14.6452,
2014-02,36.4182,35.18,47.6408,22.6231,41.856,44.924,69.7797,15.8468,
2014-03,36.942,36.1847,49.5839,19.6347,33.8175,46.1952,69.0075,16.1107,
2014-04,36.0013,35.6053,48.968,19.5537,31.6492,45.4613,65.344,15.6852,
2014-05,35.7585,35.7227,49.3188,19.6219,31.1989,45.6112,66.2003,15.6941,
2014-06,34.4595,34.7352,47.2677,18.9303,29.4366,44.3447,66.4528,15.1257,
2014-07,33.1798,33.8434,46.1827,18.4418,28.8029,43.2117,64.9897,14.7374,
2014-08,34.3448,35.4438,47.4699,19.364,28.9692,45.2609,68.4881,15.224,
2014-09,35.409,36.9316,48.6315,20.291,27.3567,47.0466,69.7578,15.888,
2014-10,37.1193,39.3836,49.9817,21.6471,30.412,50.2855,72.2367,16.6358,
2014-11,39.1078,41.9627,52.7219,23.2011,32.2728,53.5375,73.1715,17.602,
2014-12,45.3327,49.322,61.4108,27.2542,32.831,62.9911,85.66,20.5415,
2015-01,38.7846,56.2376,68.3681,30.8143,35.5525,71.6951,95.5017,23.2157,
2015-02,44.1005,68.9291,78.1105,37.3711,43.2993,88.0208,11.5247,28.2942,
2015-03,40.9845,61.2718,68.6857,33.0663,20.7701,58.4766,99.9312,24.8064,
2015-04,39.2177,57.65,62.0487,31.0447,24.5842,54.9833,90.2564,23.1619,
2015-05,35.8366,51.1388,57.1578,27.5236,24.0653,48.764,85.1313,20.5956,
2015-06,35.6112,52.9716,58.0145,28.4855,25.105,50.478,91.0991,20.8961,
2015-07,36.5813,55.8413,62.3803,29.9883,26.5911,53.2684,89.9523,21.8557,
2015-08,39.649,60.3458,66.0002,32.1947,28.5323,57.412,96.092,23.4353,
2015-09,38.3862,66.7152,74.8478,27.856,30.6737,63.6595,10.6591,25.7389,
2015-10,37.1917,65.7364,73.776,24.2588,30.8549,62.7256,95.4973,25.0902,
2015-11,36.9012,64.3742,70.7537,22.9859,27.9281,61.3497,93.0263,24.0831,
2015-12,36.957,66.737,70.6478,21.6996,28.0998,63.4865,91.383,24.2642,
2016-01,39.0417,72.9299,79.6395,21.3821,30.352,46.6871,94.9237,26.4911,
2016-02,36.0971,75.1723,81.9077,20.6961,29.5954,46.9592,99.0543,26.7422,
2016-03,35.3185,75.8994,83.1023,21.701,28.0072,48.4825,10.1036,26.6782,
2016-04,33.6834,67.8552,76.9207,19.7414,25.8496,44.0018,94.3678,23.8088,
2016-05,33.4721,64.3334,73.3015,19.6618,25.5291,42.7266,94.5107,22.1916,
2016-06,33.3483,65.9962,73.4406,19.654,26.2358,44.3195,96.6289,22.2584,
2016-07,,64.1755,71.2926,18.9448,25.846,41.3769,95.0945,21.8062,
2016-08,,67.0512,74.3799,19.0273,27.0368,41.8808,99.2215,22.7292,
2016-09,,65.2535,72.6859,19.1699,25.0013,39.9813,94.7089,21.8239,
2016-10,,63.396,70.9338,18.8946,24.4348,38.8147,93.3192,21.0618,
2016-11,,63.2174,69.2863,18.8664,24.7911,38.1149,92.0865,20.3784,
2016-12,,65.2382,69.3417,19.092,25.4837,37.2088,94.3342,20.7105,
2017-01,,60.6569,63.8111,18.1637,22.3826,33.6665,87.4012,18.9257,
2017-02,,60.0851,64.285,18.5743,22.1634,31.063,86.9113,18.4593,
2017-03,,57.9627,61.3883,18.5377,21.3333,32.8531,83.6982,17.3385,
2017-04,,55.9606,59.8107,17.8432,20.707,32.6301,81.567,15.5749,
2017-05,,56.9838,62.044,18.1226,21.4669,33.4707,84.7437,15.3802,
2017-06,,56.6876,63.4107,18.1531,21.5481,33.3065,83.2417,14.7397,
2017-07,,59.3862,67.8072,18.3719,22.8058,34.89,85.8331,15.0079,
2017-08,,60.0633,70.4603,18.2184,23.2308,35.3127,86.8594,14.7563,
2017-09,,58.5454,69.6222,17.3291,22.767,34.4182,84.8607,14.0027,
2017-10,,58.0169,68.4483,17.0075,21.815,34.1236,84.4005,71.901,
2017-11,,58.1179,67.6434,17.3639,21.6373,34.187,84.5167,71.945,
2017-12,,58.5814,69.5185,17.6847,21.565,34.4901,84.0479,72.3595,
2018-01,,57.6002,68.8668,17.3184,20.4955,33.8228,83.4786,70.9358,
2018-02,,56.184,69.9322,17.416,20.181,32.9912,82.0804,68.7203,
2018-03,,56.3742,68.9062,17.5963,21.0351,33.1126,82.7208,68.9878,
2018-04,,57.2649,70.5618,17.9829,21.7613,33.6358,83.5685,70.3586,
2018-05,,61.9997,75.2056,18.9546,23.6369,36.2614,89.9354,76.845,
2018-06,,62.0188,72.5806,18.8281,23.7483,36.4495,90.6045,77.6964,
2018-07,,62.7565,72.9921,18.3843,23.8527,36.883,92.0858,79.7247,
2018-08,,62.3497,73.0738,17.9576,23.1999,36.644,91.4889,80.0189,
2018-09,,68.0447,79.4966,18.7126,24.0866,40.1089,98.5441,86.9333,
